pair,pvalue,cointegrated
"('BMY', 'WYNN')",0.00027699770861710257,True
"('PHM', 'LRCX')",0.00027727386322979507,True
"('DGX', 'SRE')",0.0002788394762589109,True
"('MCK', 'JBL')",0.00028141056807179084,True
"('FANG', 'WYNN')",0.0002833624011255858,True
"('BLDR', 'EXPD')",0.00029189577333831745,True
"('WBD', 'LLY')",0.0002919985174807754,True
"('ITW', 'TEL')",0.00030280458191486774,True
"('IBM', 'TT')",0.0003062810349067423,True
"('OMC', 'J')",0.0003079806065017556,True
"('EXR', 'PSA')",0.0003082718667923241,True
"('IBM', 'FFIV')",0.00032345184373505295,True
"('NKE', 'FE')",0.00032554352045180277,True
"('AEE', 'WYNN')",0.00032634354475816944,True
"('SCHW', 'DOW')",0.00033117429732177077,True
"('KO', 'YUM')",0.00033524184983278754,True
"('VRTX', 'WBD')",0.0003384601122893697,True
"('TDG', 'AOS')",0.0003397076324028633,True
"('SPGI', 'MCO')",0.0003417469423968458,True
"('CTVA', 'BMY')",0.0003423218646787124,True
"('PNR', 'CVNA')",0.000343566978940543,True
"('LVS', 'PFE')",0.000343682588321266,True
"('CVS', 'DOW')",0.00034512892774659905,True
"('WRB', 'OKE')",0.0003455847637269306,True
"('BR', 'MA')",0.00034792341967310745,True
"('NKE', 'SRE')",0.00035221676042961574,True
"('CBOE', 'WBD')",0.00035386103218897107,True
"('WBD', 'META')",0.0003555046582522395,True
"('WBD', 'INCY')",0.0003555278845989273,True
"('CTVA', 'WYNN')",0.0003593752089545949,True
"('DGX', 'FE')",0.0003601505182345488,True
"('CBOE', 'UNH')",0.00036317683164963397,True
"('WDC', 'AIG')",0.00036415884848337655,True
"('CCL', 'SWK')",0.00036457772481953804,True
"('ISRG', 'PCG')",0.0003666694987329482,True
"('BF-B', 'BAX')",0.0003675329924003273,True
"('PODD', 'RMD')",0.0003695469485338393,True
"('HAL', 'CI')",0.0003697217814530619,True
"('EVRG', 'CHRW')",0.00037053205223733183,True
"('ZBRA', 'D')",0.00037507794804856866,True
"('ALLE', 'HON')",0.0003789966271793063,True
"('ITW', 'MPWR')",0.0003838934747666266,True
"('AIZ', 'L')",0.00038577551599937944,True
"('CHTR', 'SLB')",0.00039137624553493616,True
"('PTC', 'MU')",0.0003920015119837898,True
"('DASH', 'LRCX')",0.00039282111916932573,True
"('CASY', 'DELL')",0.00039398694006564613,True
"('ZBRA', 'AES')",0.0003944982487752702,True
"('TPR', 'CMS')",0.0003970987246223157,True
"('DOC', 'DOW')",0.0003976405424748782,True
"('GLW', 'TXN')",0.00039795361541241535,True
"('DELL', 'PFE')",0.0004013633870832663,True
"('FDS', 'PKG')",0.0004020760809877179,True
"('LH', 'NUE')",0.00040364570377146906,True
"('A', 'DUK')",0.0004042448931528085,True
"('ISRG', 'INVH')",0.00040798821871392053,True
"('JKHY', 'BALL')",0.000408354896149072,True
"('PSKY', 'VRSK')",0.0004091317415084773,True
"('AVGO', 'NTAP')",0.00041084738711705525,True
"('CTAS', 'UBER')",0.0004110258620731254,True
"('SJM', 'FSLR')",0.00041182021523618914,True
"('TDG', 'UBER')",0.00041300302963082145,True
"('ZBH', 'BAX')",0.00041425589706160727,True
"('LUV', 'BAX')",0.00041506818577996193,True
"('INTC', 'CTAS')",0.000415340479150795,True
"('ACN', 'GWW')",0.000415503115812708,True
"('FIS', 'MTB')",0.00041771226527408936,True
"('GEN', 'NUE')",0.00041963160837209777,True
"('MET', 'IP')",0.0004207528538168611,True
"('TROW', 'EBAY')",0.0004229489569915206,True
"('EXPE', 'HIG')",0.0004237718786313888,True
"('ZBRA', 'O')",0.00042382260079372425,True
"('IQV', 'JKHY')",0.0004265393528816125,True
"('ROP', 'DASH')",0.0004284694392208234,True
"('PHM', 'HWM')",0.0004296884527573563,True
"('EQIX', 'HWM')",0.0004322969342614508,True
"('TXN', 'BAX')",0.0004409241046303956,True
"('MTB', 'DOW')",0.00044217672725418023,True
"('HUM', 'TEL')",0.00044781697285959743,True
"('WELL', 'WYNN')",0.00044916888938735554,True
"('NEE', 'GPC')",0.0004528894502068812,True
"('EQIX', 'AME')",0.0004547349398637875,True
"('WBD', 'MRNA')",0.0004563112378765195,True
"('FIX', 'GE')",0.0004587508147997151,True
"('STX', 'GD')",0.0004593223650846475,True
"('O', 'AES')",0.0004631398587646714,True
"('MO', 'WYNN')",0.0004655231374914622,True
"('BR', 'MAR')",0.0004665250383341454,True
"('GE', 'META')",0.00047225676410697984,True
"('GLW', 'PFE')",0.00047323496052085974,True
"('NTRS', 'CVS')",0.0004765478865823862,True
"('ORLY', 'AAPL')",0.0004823305616911798,True
"('SWKS', 'PSA')",0.0004829103736338289,True
"('ODFL', 'BKR')",0.0004834226811323775,True
"('BXP', 'RJF')",0.0004862808432518077,True
"('PSKY', 'AEP')",0.0004890174069226851,True
"('PEP', 'KR')",0.0004913346827229398,True
"('SHW', 'NTAP')",0.0004936783810979548,True
"('CVS', 'STT')",0.0004970053290032657,True
"('UAL', 'BF-B')",0.0005029441557237725,True
"('WBD', 'CPRT')",0.0005051353534779767,True
"('MLM', 'LRCX')",0.0005069846955831872,True
"('LHX', 'DOV')",0.0005072961301340695,True
"('PRU', 'NUE')",0.0005080386578448437,True
