pair;final_return (%);final_profit ($);sharpe_ratio
FDX-TSLA;-6.64%;-166.0;-1.464
TXT-IBKR;-6.01%;-150.25;-2.041
XOM-MPWR;10.03%;250.75;0.8
EG-PLD;10.83%;270.75;2.006
CASY-FOXA;11.89%;297.25;2.028
TPR-ETR;10.59%;264.75;1.872
ARE-CNP;0.67%;16.75;0.139
AMT-XOM;-6.01%;-150.25;-2.033
VRSN-CI;6.56%;164.0;0.962
KO-CMS;-1.96%;-49.0;-0.586
BX-CTSH;-5.61%;-140.25;-1.314
OKE-CI;-5.97%;-149.25;-1.541
ED-DOV;-6.00%;-150.0;-1.253
HPE-STE;-8.25%;-206.25;-1.947
VRTX-LIN;-6.29%;-157.25;-2.095
TJX-DPZ;-5.66%;-141.5;-1.4
WELL-WMB;-2.94%;-73.5;-0.57
EOG-JNJ;-0.44%;-11.0;-0.036
JBL-CI;-6.09%;-152.25;-2.12
IVZ-HON;-6.06%;-151.5;-1.904
IDXX-SRE;-5.56%;-139.0;-1.19
CCI-PPL;1.42%;35.5;0.349
ES-VICI;2.82%;70.5;0.623
LIN-HWM;-6.48%;-162.0;-0.874
SYY-EXR;2.93%;73.25;0.535
SYY-CMS;-3.37%;-84.25;-0.802
DTE-DLTR;-5.93%;-148.25;-1.044
ALB-CINF;-7.70%;-192.5;-0.987
MCHP-CRL;-5.49%;-137.25;-0.64
NOW-ZTS;-6.18%;-154.5;-1.729
CTAS-GE;-1.42%;-35.5;-0.185
MMM-PM;-5.66%;-141.5;-1.373
CTVA-WMB;6.80%;170.0;1.076
GEN-CNC;-9.67%;-241.75;-1.857
WBD-IEX;10.80%;270.0;1.654
CTAS-LULU;-5.88%;-147.0;-1.977
UBER-ARES;-5.47%;-136.75;-0.771
ORLY-GOOG;-5.83%;-145.75;-1.212
EME-CI;-5.98%;-149.5;-1.896
V-CTAS;-1.50%;-37.5;-0.194
LLY-TXN;-6.21%;-155.25;-2.324
NTAP-ARES;-6.41%;-160.25;-1.683
TDG-AMAT;10.53%;263.25;1.59
IR-KLAC;-5.31%;-132.75;-0.555
AMAT-VMC;-6.28%;-157.0;-1.976
CCL-MRVL;10.11%;252.75;1.23
RMD-REGN;10.05%;251.25;1.097
TRGP-AFL;10.11%;252.75;1.74
LLY-PLTR;10.04%;251.0;0.988
HPQ-ABT;5.57%;139.25;0.674
COST-WSM;10.57%;264.25;1.516
IQV-COHR;-6.13%;-153.25;-1.294
MDT-ADI;4.24%;106.0;0.604
MSCI-CRL;-5.78%;-144.5;-1.837
ACN-CI;1.10%;27.5;0.183
PODD-SRE;-5.46%;-136.5;-0.648
ADSK-JBHT;-5.72%;-143.0;-1.418
ZBRA-TSCO;-5.79%;-144.75;-1.35
LLY-D;-5.78%;-144.5;-1.963
AKAM-PFE;-5.67%;-141.75;-0.67
MCO-LEN;10.10%;252.5;1.519
CLX-CI;0.97%;24.25;0.174
A-FCX;-5.32%;-133.0;-0.646
AOS-PHM;1.06%;26.5;0.211
UNP-FSLR;-9.12%;-228.0;-1.115
IT-FOXA;-5.42%;-135.5;-1.021
TXN-SW;-6.02%;-150.5;-1.065
TECH-CNC;-6.13%;-153.25;-1.726
GLW-GPC;-6.19%;-154.75;-1.364
NVR-ORLY;-5.10%;-127.5;-0.985
FAST-MPWR;-0.22%;-5.5;0.039
IR-MCO;-3.52%;-88.0;-0.503
AME-PCG;5.82%;145.5;1.022
SMCI-CNP;13.78%;344.5;2.049
FE-BALL;2.74%;68.5;0.469
ZBRA-JNJ;-6.01%;-150.25;-1.407
BKR-TSCO;2.61%;65.25;0.417
EXPE-HON;-5.92%;-148.0;-0.828
CDNS-PM;-3.54%;-88.5;-0.328
ERIE-OKE;-5.43%;-135.75;-0.87
ALGN-MRNA;10.62%;265.5;1.306
TRMB-DOV;-5.61%;-140.25;-1.124
WELL-FICO;10.06%;251.5;2.233
PSX-TXT;-1.00%;-25.0;-0.126
SNA-CVX;-5.84%;-146.0;-2.224
XYL-HON;-5.10%;-127.5;-0.943
NDAQ-CNC;-5.21%;-130.25;-0.716
UBER-SHW;10.60%;265.0;1.444
GIS-NUE;-5.52%;-138.0;-0.704
D-FOXA;1.13%;28.25;0.219
TGT-STE;-5.99%;-149.75;-1.59
NVR-EIX;-2.01%;-50.25;-0.371
FTV-ADP;-5.52%;-138.0;-1.35
AZO-CNC;-5.22%;-130.5;-0.718
UNP-DHI;12.01%;300.25;2.166
CBOE-SBUX;10.09%;252.25;0.953
MGM-CMI;8.64%;216.0;1.231
TER-BBY;-5.94%;-148.5;-2.262
WMB-CEG;-7.21%;-180.25;-1.308
VEEV-LMT;-5.24%;-131.0;-0.708
RTX-SRE;-5.24%;-131.0;-1.127
VTRS-CI;6.27%;156.75;0.797
AKAM-AFL;-5.95%;-148.75;-1.831
DASH-WYNN;-6.03%;-150.75;-2.049
CF-IBKR;2.28%;57.0;0.333
HSY-WYNN;10.28%;257.0;1.049
ACN-PAYX;-5.90%;-147.5;-1.123
CCL-JNJ;-5.95%;-148.75;-1.166
TPR-SWKS;-5.82%;-145.5;-2.174
VRTX-PHM;-5.98%;-149.5;-1.305
MMM-PSA;-5.37%;-134.25;-0.962
MRSH-PSA;1.75%;43.75;0.365
